Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
POPR4,"10,17","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,66%","5,65%","1,08","15,25%","19,93%","0,00","545.803.000,00","0,82","30,93%"
CLAN3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%"
CSTB4,"147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CSTB3,"150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
PORP4,"2,40","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,08%","0,00","22.399.000,00","0,00","13,66%"
PMET3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,10%","0,00","-290.863.000,00","0,00","37,74%"
MNSA4,"0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
MNSA3,"0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
IVTT3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%"
CFLU4,"1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%"
GPAR3,"47,50","-47.308,20","5,00","833,441","0,00%","4,629","15,96","2.181,36","20,24","2.076,71","2.083,92","38,21%","-1,76%","23,85","0,28%","-0,01%","0,00","757.009.000,00","0,02","-63,08%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,39%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%","0,00","7.116.080.000,00","0,53","25,23%"
PLDN4,"486,00","-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,10","-33,12","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%","0,00","289.939.000,00","0,01","10,26%"
LCSA4,"35,09","-337,52","-228,00","79,738","0,00%","125,308","-202,27","-505,80","-96,61","-506,56","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
ENEV3,"12,43","-297,98","1,60","2,044","0,00%","0,457","17,84","7,57","-0,87","14,28","8,96","26,99%","1,53%","1,26","6,48%","-0,54%","89.077.500,00","12.326.800.000,00","1,61","33,95%"
LVTC3,"3,42","-296,05","0,35","0,255","0,00%","0,157","0,65","1,21","-1,22","0,69","0,33","21,03%","-0,09%","2,37","15,39%","-0,12%","87.224,80","640.698.000,00","0,00","-10,54%"
BAHI4,"86,00","-286,17","21,59","6,106","0,00%","4,038","-19,53","-695,13","-5,41","-724,01","179,23","-0,88%","-1,77%","0,24","-0,61%","-7,54%","0,00","105.139.000,00","1,06","42,62%"
BHGR3,"19,10","-272,16","1,10","3,613","0,00%","0,855","-194,45","23,70","-8,56","25,95","14,20","15,24%","-1,31%","0,96","3,93%","-0,40%","0,00","1.077.600.000,00","0,20","20,67%"
DMMO3,"1,76","-258,65","-1,72","2,854","0,00%","3,346","11,90","6,37","-1,37","5,90","5,42","44,81%","-1,10%","2,25","70,39%","0,66%","0,00","-553.275.000,00","0,00","-17,37%"
PRGA4,"75,00","-257,76","8,29","2,345","0,00%","2,204","17,94","59,24","-8,23","63,85","25,10","3,96%","-0,47%","1,37","6,22%","-3,21%","0,00","15.228.100.000,00","1,30","12,17%"
RJCP3,"0,01","-224,70","0,65","0,000","0,00%","0,619","0,00","-522,94","0,00","-523,96","-917,32","0,00%","0,00%","0,00","0,00%","-0,29%","0,00","17.287.200,00","0,00","0,00%"
BAHI5,"65,00","-216,29","16,32","4,615","0,00%","3,052","-14,76","-525,39","-4,09","-554,27","137,21","-0,88%","-1,77%","0,24","-0,61%","-7,54%","0,00","105.139.000,00","1,06","42,62%"
ABYA3,"4,91","-214,80","1,76","2,055","0,00%","0,527","1,98","19,96","-2,75","33,67","33,67","10,29%","-0,96%","2,09","2,78%","-0,82%","0,00","292.060.000,00","1,31","16,41%"
PITI4,"1,28","-204,74","0,00","0,000","0,00%","0,000","0,00","-2.637,65","0,00","-2.637,65","111,07","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","-29,63%"
CALI4,"50,00","-160,94","7,65","2,590","0,00%","0,835","75,08","-36,87","-1,17","-45,57","-54,88","-7,03%","-1,61%","1,07","-2,39%","-4,76%","0,00","24.305.000,00","2,10","94,53%"
LCSA3,"12,50","-120,23","-81,22","28,405","0,00%","44,638","-72,05","-180,18","-34,41","-180,95","-180,95","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
MAGG3,"59,40","-119,98","1,32","0,684","0,00%","0,440","9,32","4,07","-1,55","6,41","5,34","16,82%","-0,57%","1,14","14,05%","-1,10%","0,00","2.246.130.000,00","1,03","9,27%"
SQIA3,"27,37","-110,33","3,70","3,592","0,00%","1,490","25,87","62,33","-3,84","67,32","18,50","5,76%","-2,88%","1,43","2,81%","-3,35%","0,00","650.717.000,00","0,65","46,32%"
LINX3,"37,40","-90,95","4,38","7,885","1,52%","2,745","11,96","53,17","47,06","51,49","22,97","14,83%","-8,67%","2,14","6,82%","-4,81%","0,00","1.619.010.000,00","0,22","15,54%"
BNCA3,"70,30","-90,30","2,45","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,72%","0,00","3.068.150.000,00","0,00","2,41%"
CALI3,"26,00","-83,69","3,98","1,347","2,38%","0,434","39,04","-19,17","-0,61","-27,87","-33,56","-7,03%","-1,61%","1,07","-2,39%","-4,76%","118,61","24.305.000,00","2,10","94,53%"
HAPV3,"3,67","-79,04","0,56","1,237","0,00%","0,380","10,46","18,49","-1,91","21,16","20,01","6,69%","-1,57%","1,41","2,28%","-0,71%","266.618.000,00","49.174.300.000,00","0,22","42,68%"
AMIL3,"32,20","-73,28","7,70","1,129","0,00%","2,003","-16,95","136,58","-5,43","138,61","50,13","0,83%","-1,53%","0,75","2,22%","-10,51%","0,00","1.532.980.000,00","1,24","28,47%"
CLSA3,"7,30","-71,26","1,92","2,793","0,00%","1,577","3,46","-18,48","3,61","-13,49","-34,82","-15,11%","-3,92%","3,83","-16,66%","-2,70%","17.085.900,00","714.122.000,00","0,04","2,77%"
BRFS3,"20,55","-70,63","2,27","0,642","0,00%","0,604","4,92","16,23","-2,26","20,83","8,19","3,96%","-0,47%","1,37","6,22%","-3,21%","218.963.000,00","15.228.100.000,00","1,30","12,17%"
BRTP3,"35,71","-67,26","2,45","1,168","0,00%","0,684","8,98","6,03","-2,40","7,55","7,55","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
